var,mu,std
events_pt_jet2,116.27758068044757,60.819933245910214
events_HT,467.1440548518683,231.54921136899497
events_dRjj_min,0.9398648783643176,0.4012036777771506
events_deta_max,2.3390706872683484,0.9254920665274932
events_m_higgs_like_jj,125.36396967371563,21.05051520294174
events_ptjj_at_dRmin,184.89490222676602,101.782096991033
events_Njj_higgs_like,1.7809664486178518,1.5008925510553117
events_m_jjj_maxpT,481.1668025956935,296.0930130868983
events_sum4_btag,2.8054713424788065,0.7443279117586569
events_dR_top2_btag,2.2206543662963627,0.8544833393731878
events_ptjj_at_mH,166.19669674294053,76.908249896439
events_C_jet,0.4558365186299267,0.22624546554585115
events_D_jet,0.13277119117616887,0.15600068444442966
events_Aplanarity,0.053172984540101435,0.05331165843811393
events_H4,0.31247415731391087,0.13777579945728602
events_sum_pt_b1b2,206.5546079937145,105.22878074958193
events_pt_ratio_b1_b2,1.6164833645915464,1.2432811292997954
events_mbb_btag_top2,193.07876145569432,130.5097341578835
events_sum_m_jets,56.59430621484366,24.155381739108595
events_centrality,0.6001142930067985,0.16202081805300186
events_MET_pt,102.4971549669428,64.41915586104763
